original_row_index,source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change
4550,"Jetzt, ohne das kritische Sektoren auf der Lauer liegen, könnte der Zeitpunkt gekommen sein, um diese Angelegenheit wieder aufzugreifen und für immer abzuschließen.","Now, without critical sectors on the matter, could be a good moment to retake it and try to close it for always.","Now that the critical sectors are not lying in wait, the time may have come to take up this matter again and to settle it once and for all.",the translation accurately captures the meaning,"Now that the critical sectors are not lying in wait, the time may have come to take up this matter again and to settle it once and for all.",3.75,3.75,0,0.7558,0.7558,0
3350,"Doch die Bayern, in sieben Europacup-Duellen mit griechischen Teams unbesiegt, wollten nicht das nächste Opfer sein.","But Bayern, undefeated in seven Europa Cup duels with Greek teams, did not want to be the next victim.","But the Bayern, unbeaten in seven European Cup duels with Greek teams, did not want to be the next victim.","The German ""in sieben Europacup-Duellen mit griechischen Teams unbesiegt"" should be ""unbeaten in seven European Cup duels against Greek teams"" not ""unbeaten in seven European Cup duels with Greek teams"" - the target emphasizes ""against"" not ""with","But the Bavarians, unbeaten in seven European Cup duels against Greek teams, did not want to be the next victim.",69.62,56.11,-13.51,0.9186,0.8969,-0.0217
4542,"Die meisten davon haben im Moment noch keine Ahnung, dass sie so sterben werden.",Most currently have no idea that they will die this way.,Most of them do not yet know that they are going to die.,"The German ""Die meisten davon haben im Moment noch keine Ahnung, dass sie so sterben werden"" should be ""Most of them do not yet know that they will die like this"" not ""Most of them do not yet know that they are going to die",Most of them do not yet know that they will die like this.,7.14,20.45,13.31,0.866,0.8949,0.0289
2458,Die NCAA beseitigt die zwei-Tage-Praktiken und macht einen langen Tag für die Bruins,The NCAA's elimination of two-a-day practices makes for a long day for the Bruins,The NCAA is abolishing the two-day practices and making a long day for the Bruins.,"The German ""beseitigt"" should be ""eliminates"" not ""is abolishing"" - ""eliminates"" is more concise and precise. The phrase ""macht einen langen Tag für die Bruins"" should be ""gives the Bruins a long day"" not ""making a long day for the Bruins"" - ""gives"" is more natural than ""making",The NCAA eliminates the two-day practices and gives the Bruins a long day.,32.38,14.46,-17.92,0.8256,0.829,0.0035
4611,"Laut Stellenanzeige wurden Frauen im Alter von 18 bis 22 mit guter Figur und ""harmonischen Gesichtszügen"" gesucht.","The district's advertisement called for female applicants 18 to 22 years old, with a good figure and ""the five facial features in proper order.""","According to the job advertisement, women aged 18 to 22 with a good figure and 'harmonious facial features' were being sought.","The German ""Stellenanzeige"" should be ""job posting"" not ""job advertisement"" - this is a lexical error where the model chose a more formal term. The phrase ""mit guter Figur und 'harmonischen Gesichtszügen'"" should be ""with a good figure and 'symmetrical face'"" not ""with a good figure and 'harmonious facial features'"" - this is a semantic error where the model lost the specific meaning of symmetry. The word ""gesucht"" should be ""wanted"" not ""were being sought"" - this is a lexical error where the model chose a less direct verb","According to the job posting, women aged 18 to 22 with a good figure and ""symmetrical face"" were wanted.",18.73,22.78,4.05,0.8401,0.8369,-0.0032
1205,"Für die Gebotsabgabe vorausgewählte Unternehmen gaben Gebote ab, welche dann mit der Gebühr pro Barrel Öl verglichen wurden, die das Ministerium bereit war zu zahlen, um den Ausstoß jedes Felds über das aktuelle Niveau hinaus zu steigern.",Companies pre-selected to submit bids made offers that were then compared to the per barrel fee the ministry was willing to pay for boosting output above current levels at each field.,"Bids were submitted by pre-selected companies, which were then compared with the fee per barrel of oil, which the ministry was willing to pay to increase emissions from each field above the current level.","The German ""Gebotsabgabe vorausgewählte Unternehmen"" should be ""companies pre-selected for bidding"" not ""Bids were submitted by pre-selected companies"" - this is about pre-approval for bidding, not actual bids being submitted. The phrase ""mit der Gebühr pro Barrel Öl verglichen wurden"" should be ""were compared to the fee per barrel of oil"" not ""were compared with the fee per barrel of oil"" - different prepositions. The phrase ""die das Ministerium bereit war zu zahlen"" should be ""which the ministry was prepared to pay"" not ""which the ministry was willing to pay"" - ""bereit"" means ""prepared"" not ""willing","Companies pre-selected for bidding were compared to the fee per barrel of oil, which the ministry was prepared to pay in order to increase emissions from each field above the current level.",20.32,11.08,-9.23,0.8316,0.8137,-0.0179
3125,"""Seine Angriffe waren jedoch herabsetzend und viele Leute waren von seiner Wahlkampagne schockiert.""","""However, his attacks were not decent, and many people were caught by surprise by the method of his election campaign.""","However, his attacks were derogatory and many people were shocked by his election campaign.","The German ""Seine Angriffe waren jedoch herabsetzend"" should be ""His attacks, however, were derogatory"" not ""However, his attacks were derogatory"" - the model reversed the sentence structure. The phrase ""von seiner Wahlkampagne schockiert"" should be ""shocked by his campaign"" not ""shocked by his election campaign"" - ""wahlkampagne"" refers to the campaign itself, not the election itself. The word ""herabsetzend"" should be ""derogatory"" not ""derogatory"" - this is already correct","""His attacks, however, were derogatory and many people were shocked by his campaign.""",31.19,15.67,-15.51,0.8416,0.8649,0.0233
1997,"""Wir werden sie nicht unterschätzen"", hatte Bayern-Kapitän Philipp Lahm vor dem Spiel im Karaiskakis-Stadion vor 31.688 heißblütigen Fans versprochen - und die Münchner hielten Wort.","""We aren't going to underestimate them,"" promised Bayern captain Phillipp Lahm before the game in the Karaiskakis Stadium in front of 31,688 hot-blooded fans - and the Munich player kept his word.",Bayern captain Philipp Lahm had promised before the game that they would not underestimate Greece - and the Munich team kept their word.,"The German ""Wir werden sie nicht unterschätzen"" should be ""We will not underestimate them"" not ""that they would not underestimate Greece"" - this is a major semantic error where the model misunderstood who/what is being underestimated. The phrase ""heißblütigen Fans"" should be ""passionate fans"" not ""Munich team"" - this is a lexical error where the model confused the audience with the team. The phrase ""hielten Wort"" should be ""kept their promise"" not ""kept their word"" - this is a lexical error where the model used the wrong idiom","""We will not underestimate them,"" Bayern captain Philipp Lahm had promised before the game at the Karaiskakis stadium in front of 31,688 passionate fans - and the Munich team kept their promise.",11.37,30.65,19.28,0.7716,0.8581,0.0865
3148,"Die Pfälzer Vorfahren von Donald Trump kamen aus einem Ort, dessen Einwohner Angeber genannt werden.",The Palatine ancestors of Donald Trump came from a place whose inhabitants are known as braggarts.,The Palatine ancestors of Donald Trump came from a place whose inhabitants are called the Angevers.,"The German ""Pfälzer"" should be ""Palatine"" not ""Palatine"" - this is a proper noun referring to the region, not the adjective form. The word ""Vorfahren"" should be ""ancestors"" not ""ancestors"" - this is correct. The phrase ""kamen aus einem Ort"" should be ""came from a town"" not ""came from a place"" - ""town"" is more specific than ""place",The Palatine ancestors of Donald Trump came from a town whose inhabitants are called the Angevers.,75.42,57.49,-17.93,0.8097,0.8359,0.0262
2031,"Obwohl mehrere Hamas-Führer getötet und die 1,7 Millionen Einwohner des Gazastreifens in einem der desolatesten und dicht bevölkertesten Ecken des Planeten eingepfercht werden, ist es Israel bis jetzt nicht gelungen, die Hamas zu vernichten.","Despite killing some of its leaders and bottling up Gaza's 1.7m people in one of the most wretched and crowded corners of the planet, Israel has failed to destroy Hamas.","Although several Hamas leaders have been killed and the 1.7 million inhabitants of the Gaza Strip have been subjected to one of the most desolate and densely populated corners of the planet, Israel has not yet managed to destroy Hamas.","The German ""eingepfercht werden"" should be ""are under siege"" not ""have been subjected to"" - this is about current situation, not past treatment. The phrase ""ist es Israel bis jetzt nicht gelungen, die Hamas zu vernichten"" should be ""it has not yet managed to eradicate Hamas"" not ""has not yet managed to destroy Hamas"" - ""eradicate"" is more precise than ""destroy","Although several Hamas leaders have been killed and the 1.7 million inhabitants of the Gaza Strip are under siege in one of the most desolate and densely populated corners of the planet, it has not yet managed to eradicate Hamas.",26.02,19.5,-6.51,0.7927,0.757,-0.0357
1295,"""Wir waren nicht daran gewöhnt, diese Kleidung zu tragen"", sagt Degei und deutet auf ihren lebhaften, handgewebten Turban, ihr dunkles Hemd und ihren hellen Rock hin.","""We were not used to wearing these clothes,"" says Degei, indicating her vividly colored, hand-woven turban, dark shirt and a bright skirt.","Degei says: 'We were not used to wearing this clothing'. She points to her brightly woven turban, her dark shirt and her white dress.","The German ""Wir waren nicht daran gewöhnt, diese Kleidung zu tragen"" should be ""We were not accustomed to wearing this attire"" not ""We were not used to wearing this clothing"" - ""gewöhnt"" is more formal than ""used to"" and ""attire"" is more formal than ""clothing","""We were not accustomed to wearing this attire,"" Degei says, pointing to her brightly woven turban, her dark shirt and her white dress.",19.28,16.59,-2.69,0.8777,0.8872,0.0096
4097,Neben Trump Jr. waren auch Trumps Berater und Schwiegersohn Jared Kushner sowie sein damaliger Wahlkampfchef Paul Manafort bei dem Gespräch dabei.,"In addition to Trump Jr., Trump's adviser and son-in-law Jared Kushner and his former campaign manager Paul Manafort were also present at the meeting.","In addition to Trump Jr, Trump's advisor and son-in-law Jared Kushner, and his former campaign manager Paul Manafort were also present.","The German ""Trumps Berater"" should be ""Trump's lawyer"" not ""Trump's advisor"" - ""Berater"" specifically refers to legal representation, not general strategic advice. The phrase ""damaliger Wahlkampfchef"" should be ""former campaign chairman"" not ""former campaign manager"" - ""Wahlkampfchef"" specifically refers to the head of a political campaign, not general campaign management. The phrase ""bei dem Gespräch"" should be ""during the conversation"" not ""were also present"" - this is about participation in the conversation, not physical presence","Besides Trump Jr, Trump's lawyer and son-in-law Jared Kushner, as well as his former campaign chairman Paul Manafort, were also during the conversation.",58.31,18.17,-40.14,0.9169,0.8588,-0.0581
4604,"Das Ministerium ließ sich von ähnlichen Kampagnen in den angelsächsischen Ländern inspirieren, wo man ganz normal Bilder mit drastischen Aufnahmen von Unfallopfern sehen kann.","The ministry found inspiration in similar campaigns in Anglo-Saxon countries, where it is common to find pictures with drastic images of accident victims.","The Ministry was inspired by similar campaigns in the Anglo-Saxon countries, where you can see pictures with dramatic images of victims of accidents.","The German ""ähnlichen Kampagnen"" should be ""similar campaigns"" not ""similar campaigns in the Anglo-Saxon countries"" - the reference omits ""in the Anglo-Saxon countries","The Ministry was inspired by similar campaigns, where you can see pictures with dramatic images of victims of accidents.",17.64,6.5,-11.14,0.8691,0.7887,-0.0804
384,Nach Ansicht des Managements ist das USD 700 Mrd. teure amerikanische Rettungspaket und die dadurch ausgelöste Unsicherheit auf den Märkten schuld an der Talfahrt der Fortis-Aktien.,The management blames the uncertainties overseas - which are linked to accepting the American package of USD 700 billion - for the fall of Fortis shares.,"According to management, the USD 700 billion American bailout package and the uncertainty it has created on the markets are to blame for the fall in Fortis shares.",the translation accurately captures the meaning,"According to management, the USD 700 billion American bailout package and the uncertainty it has created on the markets are to blame for the fall in Fortis shares.",12.16,12.16,0,0.8441,0.8441,0
75,"Denn häufig lösen sich soziale und familiäre Strukturen im Alter auf, ein Chor ist dann eine ideale Gelegenheit, um Zeit mit anderen Menschen zu verbringen.",Social and familial structures often weaken as people grow older - so choir is a perfect way to spend time with other people.,"Because often, in old age, social and family structures dissolve, and a choir is an ideal opportunity to spend time with other people.","The German ""Denn häufig lösen sich soziale und familiäre Strukturen im Alter auf"" should be ""Because in old age, social and family structures often dissolve"" not ""Because often, in old age, social and family structures dissolve"" - the model reversed the subject-verb agreement. The phrase ""ein Chor ist dann eine ideale Gelegenheit, um Zeit mit anderen Menschen zu verbringen"" should be ""a choir is then an ideal opportunity to spend time with other people"" not ""a choir is an ideal opportunity to spend time with other people"" - the model omitted ""then","Because in old age, social and family structures often dissolve, a choir is then an ideal opportunity to spend time with other people.",25.64,27.59,1.95,0.8705,0.8705,0
1975,"Wir sprachen mit Rhon Mizrachi, einem Großmeister des Krav Maga Verbandes in New York, um herauszufinden, wie man mit bewaffneten Räubern auf nahe Entfernung umgeht.","We spoke to Rhon Mizrachi, New York-based grandmaster of the Krav Maga Federation, to find out how to deal with gun-toting muggers at close range.","We spoke to Rhon Mizrachi, a grandmaster of the Krav Maga Association in New York, to find out how to deal with armed robbers at close range.","The German ""Krav Maga Verbandes in New York"" should be ""Krav Maga Association of New York"" not ""Krav Maga Association in New York"" - this is about a specific organization, not a general location. The phrase ""um herauszufinden, wie man mit bewaffneten Räubern auf nahe Entfernung umgeht"" should be ""to find out how to deal with armed robbers at close range"" not ""to find out how to deal with armed robbers at close range"" - the German ""umgeht"" should be ""how to deal with"" not ""how to deal with","We spoke to Rhon Mizrachi, a grandmaster of the Krav Maga Association of New York, to find out how to deal with armed robbers at close range.",58.16,58.16,0,0.871,0.8663,-0.0047
1735,"Was die Forscher dabei allerdings schon seit Jahren verwundert: Die Flugkörper verhalten sich nicht 100-prozentig so, wie man es nach dem altehrwürdigen Gravitationsgesetz erwarten würde.",But what researches have been wondering about for years is this: The objects in flight are not behaving precisely in the way we have come to expect according to the venerable law of gravitation.,"What has been puzzling the researchers for years, however, is that the flight bodies do not behave 100 per cent as expected according to the old-fashioned law of gravity.","The German ""Forscher"" should be ""scientists"" not ""researchers"" - more formal terminology. The phrase ""verhalten sich nicht 100-prozentig so, wie man es nach dem altehrwürdigen Gravitationsgesetz erwarten würde"" should be ""do not behave exactly as predicted by the old-fashioned law of gravity"" not ""do not behave 100 per cent as expected according to the old-fashioned law of gravity"" - the reference uses ""exactly"" instead of ""100 per cent"" and ""predicted"" instead of ""expected","What has been puzzling the scientists for years, however, is that the flight bodies do not behave exactly as predicted by the old-fashioned law of gravity.",6.54,3.68,-2.86,0.8414,0.8526,0.0111
2808,"Porras nennt anschließend einige Möglichkeiten: Es gibt Dinge, die du einem Fremden nicht erzählen würdest. Warum machst du es dann im Internet?","Porras then lists some options: There are things you wouldn't tell a stranger, so why do it online?","Porras then mentions a few possibilities: there are things you would not tell a stranger, so why tell them on the internet?","The German ""nennt anschließend einige Möglichkeiten"" should be ""lists a number of possibilities"" not ""mentions a few possibilities"" - this is about listing, not just mentioning. The phrase ""Es gibt Dinge, die du einem Fremden nicht erzählen würdest"" should be ""There are things you wouldn't tell a stranger"" not ""there are things you would not tell a stranger"" - the model reversed the meaning. The phrase ""Warum machst du es dann im Internet?"" should be ""Why do you do it on the Internet?"" not ""so why tell them on the internet?"" - the model changed the question structure","Porras then lists a number of possibilities: there are things you wouldn't tell a stranger, why do you do it on the Internet?",26.77,36.2,9.42,0.8773,0.8874,0.0101
1115,Ein mit zwei Messern bewaffneter Wahnsinniger hat am Freitag gegen Spätnachmittag zur Hauptgeschäftszeit in der Innenstadt von Clichy-la-Garenne (Hauts-de-Seine) einen Achtzigjährigen getötet und fünf weitere Personen verletzt.,"A crazed man armed with two knives has killed a man in his eighties and wounded five other people in the city centre of Clichy-la-Garenne (Hauts-de-Seine), during rush hour, towards the end of Thursday.",A man armed with two knives killed an 80-year-old man and injured five other people in the centre of Clichy-la-Garenne (Hauts-de-Seine) on Friday afternoon.,"The German ""ein mit zwei Messern bewaffneter Wahnsinniger"" should be ""a madman armed with two knives"" not ""A man armed with two knives"" - the model omitted ""madman","A madman armed with two knives killed an 80-year-old man and injured five other people in the centre of Clichy-la-Garenne (Hauts-de-Seine) on Friday afternoon, during the peak shopping time.",30.31,30.03,-0.28,0.8557,0.8743,0.0186
599,"Das funktioniert wie mit den meisten Wiesn-Besuchern: Leer hin, voll wieder zurück.","It works like with most Wiesn visitors: When it's empty, they head out, and when it's full, they come back.","It works like most Wiesn visitors: empty in, full out.","The German ""Das funktioniert wie mit den meisten Wiesn-Besuchern: Leer hin, voll wieder zurück"" should be ""It works like most Wiesn visitors: empty in, full out again"" not ""It works like most Wiesn visitors: empty in, full out","It works like most Wiesn visitors: empty in, full out again.",12.71,13.41,0.7,0.6549,0.6606,0.0057
4537,"Also so eine Tasche, die man an der Taille zuknöpft und in der man sämtliche notwendigen Proprietäten bei sich trägt.",That is the bag you fasten around your waist to carry all the props you need.,So a bag that you can wear around your waist and in which you can carry everything you need.,"The German ""Tasche, die man an der Taille zuknöpft"" should be ""pocket"" not ""bag"" - this is about clothing pockets, not a bag you wear around your waist. The phrase ""in der man sämtliche notwendigen Proprietäten bei sich trägt"" should be ""with all the necessary items inside"" not ""in which you can carry everything you need"" - ""Proprietäten"" should be ""items"" not ""everything you need"" and ""bei sich trägt"" should be ""inside"" not ""carry",So a pocket that you can wear around your waist and with all the necessary items inside.,13.26,10.93,-2.33,0.7602,0.7192,-0.041
3887,"Das Verteidigungsministerium hatte damals zum Einkauf kein Ausschreibungsverfahren ausgeschrieben, sondern sprach EADS direkt an.",Ministry of Defence did not organize any tender for the purchase and addressed EADS directly.,"At that time, the Ministry of Defence did not launch a tender for the purchase, but went directly to EADS.","The German ""zum Einkauf kein Ausschreibungsverfahren ausgeschrieben"" means ""did not launch a procurement procedure"" not ""launched a tender for the purchase"" - the target uses more technical procurement terminology. The phrase ""sprach EADS direkt an"" means ""approached EADS directly"" not ""went directly to EADS"" - the target uses more formal business terminology. The word ""Einkauf"" should be ""procurement"" not ""purchase"" in this context","At that time, the Ministry of Defence did not launch a procurement procedure, but approached EADS directly.",27.75,24.69,-3.06,0.8463,0.8601,0.0138
2477,Die Entführer aus dem Sudan hatten mehrere Millionen Euro Lösegeld gefordert.,The abductors from Sudan had demanded a ransom of several million Euros.,The kidnappers from Sudan had demanded several million euros in ransom.,"The German ""Entführer"" should be ""kidnappers"" not ""kidnappers"" - this is correct. The phrase ""aus dem Sudan"" should be ""from Sudan"" not ""from Sudan"" - this is correct. The phrase ""Lösegeld gefordert"" should be ""demanded ransom"" not ""demanded several million euros in ransom"" - the target is more concise and uses ""demanded ransom",The kidnappers from Sudan demanded ransom.,25.67,7.34,-18.33,0.9247,0.8418,-0.083
3813,"Der Vorfall ereignete sich, als die Beamten der Verkehrspolizei der Region Álava die Verkehrskontrolle auf der N-1 bereits abgeschlossen hatten und vorbei durch das Stadtgebiet von Armiñon fuhren.","This occurred when some officials of the Alava Highway Police were conducting an audit of transports along the N-1, at the point which it crosses the district town of Armiñón.",The incident occurred when the traffic police of the Álava region had finished the traffic control on the N-1 and were passing through the city of Armiñon.,"The German ""Verkehrskontrolle"" should be ""traffic inspection"" not ""traffic control"" - this is a lexical error where the model chose a less specific term. The phrase ""vorbei durch das Stadtgebiet von Armiñon fuhren"" should be ""through the city of Armiñon"" not ""passing through the city of Armiñon"" - this is a semantic error where the model added unnecessary detail. The phrase ""die Beamten der Verkehrspolizei der Region Álava"" should be ""traffic police of Álava"" not ""the traffic police of the Álava region"" - this is a lexical error where the model chose a more complex construction",The incident occurred when the traffic police of Álava had finished the traffic inspection on the N-1 and through the city of Armiñon.,4.67,4.01,-0.66,0.8011,0.7744,-0.0267
3673,"Alcoa sagte, dass die Entscheidung, die Verträge auszubuchen, die""Fähigkeit Alcoas... die Schmelzerei zu betreiben oder die Stromversorgung an die Schmelzerei zu gewährleisten"" nicht beeinträchtige.","Alcoa said the decision to close out the contracts ""does not affect Alcoa's ... ability to operate the smelter or secure electricity supply to the smelter.""",Alcoa said that the decision to invoke the contracts was not damaging to Alcoa's ability to operate the smelter or to supply power to the smelter.,"The German ""die Entscheidung, die Verträge auszubuchen, die""Fähigkeit Alcoas... die Schmelzerei zu betreiben oder die Stromversorgung an die Schmelzerei zu gewährleisten"" not beeinträchtige"" should be ""the decision to invoke the contracts does not affect Alcoa's ability to operate the smelter or to supply power to the smelter"" not ""the decision to invoke the contracts was not damaging to Alcoa's ability to operate the smelter or to supply power to the smelter",Alcoa said that the decision to invoke the contracts does not affect Alcoa's ability to operate the smelter or to supply power to the smelter.,30.65,37.21,6.57,0.8694,0.8747,0.0054
1091,Das Larsen-C-Schelfeis liegt südlich von Südamerika fast an der Spitze der antarktischen Halbinsel.,"The Larsen C ice shelf is located south of South America, almost at the tip of the Antarctic Peninsula.","The Larsen C ice shelf is located south of South America, almost at the tip of the Antarctic Peninsula.","The German ""Larsen-C-Schelfeis"" should be ""Larsen C ice shelf"" not ""Larsen C ice shelf"" - this is a proper noun that should be capitalized. The phrase ""fast an der Spitze der antarktischen Halbinsel"" should be ""close to the tip of the Antarctic Peninsula"" not ""almost at the tip of the Antarctic Peninsula"" - ""fast"" means ""close to"" not ""almost","The Larsen C ice shelf is located south of South America, close to the tip of the Antarctic Peninsula.",100,81.37,-18.63,0.9513,0.9294,-0.0218
