original_row_index,source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change
4542,"Die meisten davon haben im Moment noch keine Ahnung, dass sie so sterben werden.",Most currently have no idea that they will die this way.,Most of them do not know that they are going to die in this way.,"The German ""so sterben werden"" should be ""are going to die"" not ""are going to be killed"" - this is about dying, not being killed. The phrase ""im Moment noch keine Ahnung"" should be ""have no idea"" not ""do not know"" - ""no idea"" is more natural than ""do not know",Most of them have no idea that they are going to die this way.,12.45,42.31,29.86,0.8984,0.9333,0.0349
2458,Die NCAA beseitigt die zwei-Tage-Praktiken und macht einen langen Tag für die Bruins,The NCAA's elimination of two-a-day practices makes for a long day for the Bruins,The NCAA eliminates the two-a-day practices and makes a long day for the Bruins.,"The German ""beseitigt die zwei-Tage-Praktiken"" should be ""eliminates the two-a-day practices"" not ""eliminates the two-a-day practices and makes a long day for the Bruins"" - the model completely changed the meaning from ""eliminates"" to ""makes a long day for",The NCAA eliminates the two-a-day practices and makes a long day for the Bruins.,38.5,38.5,0,0.854,0.854,0
4611,"Laut Stellenanzeige wurden Frauen im Alter von 18 bis 22 mit guter Figur und ""harmonischen Gesichtszügen"" gesucht.","The district's advertisement called for female applicants 18 to 22 years old, with a good figure and ""the five facial features in proper order.""","According to the advertisement, women aged 18 to 22 with good figures and 'harmonious facial features' were sought.","The German ""mit guter Figur"" should be ""with a good figure"" not ""with good figures"" - the model omitted the possessive. The phrase ""harmonischen Gesichtszügen"" should be ""with harmonious facial features"" not ""with 'harmonious facial features'"" - the model added unnecessary quotation marks. The word ""Stellenanzeige"" should be ""advertisement"" not ""advertisement","According to the advertisement, women aged 18 to 22 with a good figure and with harmonious facial features were sought.",6.61,19.68,13.07,0.8454,0.8349,-0.0105
1205,"Für die Gebotsabgabe vorausgewählte Unternehmen gaben Gebote ab, welche dann mit der Gebühr pro Barrel Öl verglichen wurden, die das Ministerium bereit war zu zahlen, um den Ausstoß jedes Felds über das aktuelle Niveau hinaus zu steigern.",Companies pre-selected to submit bids made offers that were then compared to the per barrel fee the ministry was willing to pay for boosting output above current levels at each field.,Selected companies submitted bids which were then compared with the fee per barrel of oil that the ministry was prepared to pay in order to increase the output of each field above the current level.,"The German ""Gebotsabgabe"" should be ""bidding"" not ""bids"" - this is about the bidding process, not individual bids. The phrase ""die Gebühr pro Barrel Öl"" should be ""the fee per barrel of oil"" not ""the fee per barrel of oil that the ministry was prepared to pay"" - this is about the bidding fee, not the ministry's willingness to pay. The phrase ""welchen dann mit der Gebühr pro Barrel Öl verglichen wurden"" should be ""which were then compared with the fee per barrel of oil"" not ""which were then compared with the fee per barrel of oil that the ministry was prepared to pay"" - this is about comparing the bids to the bidding fee, not the ministry's willingness to pay","For the bidding, selected companies submitted bids which were then compared with the fee per barrel of oil that the ministry was prepared to pay in order to increase the output of each field above the current level.",10.1,9.05,-1.05,0.8696,0.8519,-0.0177
3125,"""Seine Angriffe waren jedoch herabsetzend und viele Leute waren von seiner Wahlkampagne schockiert.""","""However, his attacks were not decent, and many people were caught by surprise by the method of his election campaign.""","However, his attacks were offensive and many people were shocked by his election campaign.","The German ""Seine Angriffe waren jedoch herabsetzend"" should be ""His attacks, however, were degrading"" not ""However, his attacks were offensive"" - ""herabsetzend"" means ""degrading"" not ""offensive","""His attacks, however, were degrading and many people were shocked by his election campaign."" - the model changed ""herabsetzend"" (degrading) to ""offensive"" and changed ""herabsetzend"" (degrading) to ""offensive""",31.19,14.72,-16.46,0.8456,0.4819,-0.3638
1997,"""Wir werden sie nicht unterschätzen"", hatte Bayern-Kapitän Philipp Lahm vor dem Spiel im Karaiskakis-Stadion vor 31.688 heißblütigen Fans versprochen - und die Münchner hielten Wort.","""We aren't going to underestimate them,"" promised Bayern captain Phillipp Lahm before the game in the Karaiskakis Stadium in front of 31,688 hot-blooded fans - and the Munich player kept his word.","Bayern captain Philipp Lahm promised before the game in the Karaiskakis Stadium in front of 31,688 heated fans that they would not be underestimated - and Munich kept their word.","The German ""Wir werden sie nicht unterschätzen"" should be ""We will not underestimate them"" not ""They will not be underestimated","""We will not underestimate them,"" Bayern captain Philipp Lahm promised before the game in the Karaiskakis Stadium in front of 31,688 heated fans - and the Munich team kept their word.",34.58,50.18,15.6,0.8141,0.8622,0.0481
3148,"Die Pfälzer Vorfahren von Donald Trump kamen aus einem Ort, dessen Einwohner Angeber genannt werden.",The Palatine ancestors of Donald Trump came from a place whose inhabitants are known as braggarts.,The Palatine ancestors of Donald Trump came from a place whose inhabitants are called boasters.,"The German ""Pfälzer Vorfahren"" should be ""Pfalz ancestors"" not ""Palatine ancestors"" - ""Pfalz"" is the standard German spelling for the region, not ""Palatine"" which is less common. The phrase ""von Donald Trump"" should be ""of Donald Trump"" not ""of Donald Trump's"" - this is about ancestry, not possession. The word ""Angeber"" should be ""braggarts"" not ""boasters"" - ""Angeber"" is the specific German term for braggarts, while ""boasters"" is more general. The phrase ""welcher Einwohner Angeber genannt werden"" should be ""whose inhabitants are called braggarts"" not ""whose inhabitants are called boasters"" - the model changed the specific term from ""Angeber"" to ""boasters""",The Pfalz ancestors of Donald Trump came from a place whose inhabitants are called braggarts.,75.76,66.68,-9.08,0.8437,0.7907,-0.053
2031,"Obwohl mehrere Hamas-Führer getötet und die 1,7 Millionen Einwohner des Gazastreifens in einem der desolatesten und dicht bevölkertesten Ecken des Planeten eingepfercht werden, ist es Israel bis jetzt nicht gelungen, die Hamas zu vernichten.","Despite killing some of its leaders and bottling up Gaza's 1.7m people in one of the most wretched and crowded corners of the planet, Israel has failed to destroy Hamas.","Although several Hamas leaders have been killed and the 1.7 million inhabitants of the Gaza Strip have been confined to one of the most desolate and densely populated corners of the planet, Israel has not yet succeeded in destroying Hamas.",the translation accurately captures the meaning,"Although several Hamas leaders have been killed and the 1.7 million inhabitants of the Gaza Strip have been confined to one of the most desolate and densely populated corners of the planet, Israel has not yet succeeded in destroying Hamas.",22.31,22.31,0,0.8069,0.8069,0
1295,"""Wir waren nicht daran gewöhnt, diese Kleidung zu tragen"", sagt Degei und deutet auf ihren lebhaften, handgewebten Turban, ihr dunkles Hemd und ihren hellen Rock hin.","""We were not used to wearing these clothes,"" says Degei, indicating her vividly colored, hand-woven turban, dark shirt and a bright skirt.","'We were not used to wearing these clothes', says Degei, pointing to her brightly coloured turban, her dark shirt and her light-coloured robe.","The German ""Wir waren nicht daran gewöhnt, diese Kleidung zu tragen"" should be ""We were not used to wearing these clothes"" not ""We were not used to wearing these clothes","""We were not used to wearing these clothes,"" says Degei, pointing to her brightly coloured turban, her dark shirt and her light-coloured robe.",27.11,53.88,26.77,0.8864,0.8869,0.0006
4097,Neben Trump Jr. waren auch Trumps Berater und Schwiegersohn Jared Kushner sowie sein damaliger Wahlkampfchef Paul Manafort bei dem Gespräch dabei.,"In addition to Trump Jr., Trump's adviser and son-in-law Jared Kushner and his former campaign manager Paul Manafort were also present at the meeting.","In addition to Trump Jr, Trump's advisers and son-in-law Jared Kushner, as well as his former campaign manager Paul Manafort, were also present at the meeting.","The German ""Neben Trump Jr. waren auch Trumps Berater und Schwiegersohn Jared Kushner sowie sein damaliger Wahlkampfchef Paul Manafort bei dem Gespräch dabei"" should be ""Trump's son-in-law, Jared Kushner, and his former campaign manager, Paul Manafort, were also present at the meeting"" not ""Trump's advisers and son-in-law Jared Kushner, as well as his former campaign manager Paul Manafort, were also present at the meeting","Trump's son-in-law, Jared Kushner, and his former campaign manager, Paul Manafort, were also present at the meeting.",55.82,39.81,-16.01,0.9092,0.898,-0.0113
4604,"Das Ministerium ließ sich von ähnlichen Kampagnen in den angelsächsischen Ländern inspirieren, wo man ganz normal Bilder mit drastischen Aufnahmen von Unfallopfern sehen kann.","The ministry found inspiration in similar campaigns in Anglo-Saxon countries, where it is common to find pictures with drastic images of accident victims.","The Ministry was inspired by similar campaigns in the Anglo-Saxon countries, where it is quite normal to see pictures of accident victims.","The German ""ähnlichen Kampagnen"" should be ""similar campaigns"" not ""similar campaigns in the Anglo-Saxon countries"" - the model added ""in the Anglo-Saxon countries"" unnecessarily. The phrase ""wo man ganz normal Bilder mit drastischen Aufnahmen von Unfallopfern sehen kann"" should be ""where you can see pictures of accident victims"" not ""where it is quite normal to see pictures of accident victims"" - the model changed ""Bilder"" (pictures) to ""pictures"" and ""Unfallopfern"" (accident victims) to ""accident victims","The Ministry was inspired by similar campaigns in the Anglo-Saxon countries, where you can see pictures of accident victims.",34.92,24.11,-10.81,0.8491,0.8405,-0.0085
384,Nach Ansicht des Managements ist das USD 700 Mrd. teure amerikanische Rettungspaket und die dadurch ausgelöste Unsicherheit auf den Märkten schuld an der Talfahrt der Fortis-Aktien.,The management blames the uncertainties overseas - which are linked to accepting the American package of USD 700 billion - for the fall of Fortis shares.,"According to management, the USD 700 billion American rescue package and the uncertainty it has caused on the markets are to blame for the fall in Fortis shares.",the translation accurately captures the meaning,"According to management, the USD 700 billion American rescue package and the uncertainty it has caused on the markets are to blame for the fall in Fortis shares.",12.16,12.16,0,0.8391,0.8391,0
75,"Denn häufig lösen sich soziale und familiäre Strukturen im Alter auf, ein Chor ist dann eine ideale Gelegenheit, um Zeit mit anderen Menschen zu verbringen.",Social and familial structures often weaken as people grow older - so choir is a perfect way to spend time with other people.,"After all, social and family structures often break down in old age, and a choir is then an ideal opportunity to spend time with other people.","The German ""Denn häufig lösen sich soziale und familiäre Strukturen im Alter auf"" was completely omitted from the translation. The phrase ""ein Chor ist dann eine ideale Gelegenheit, um Zeit mit anderen Menschen zu verbringen"" was simplified to ""and a choir is then an ideal opportunity to spend time with other people"" when it should be ""a choir is then the ideal opportunity to spend time with other people"" - the emphasis is on ""ideal"" and ""opportunity","After all, social and family structures often break down in old age, and a choir is then the ideal opportunity to spend time with other people.",24.58,24.58,0,0.887,0.8857,-0.0013
1975,"Wir sprachen mit Rhon Mizrachi, einem Großmeister des Krav Maga Verbandes in New York, um herauszufinden, wie man mit bewaffneten Räubern auf nahe Entfernung umgeht.","We spoke to Rhon Mizrachi, New York-based grandmaster of the Krav Maga Federation, to find out how to deal with gun-toting muggers at close range.","We spoke to Rhon Mizrachi, a Grand Master of the Krav Maga Association in New York, to find out how to deal with armed robbers at close quarters.","The German ""Großmeister des Krav Maga Verbandes"" should be ""Grand Master of the Krav Maga Association"" not ""Grand Master of the Krav Maga Association in New York"" - the model added ""in New York"" unnecessarily. The phrase ""umherzufinden, wie man mit bewaffneten Räubern auf nahe Entfernung umgeht"" should be ""to find out how to deal with armed robbers at close range"" not ""to find out how to deal with armed robbers at close quarters"" - the model changed ""Entfernung"" (distance) to ""quarters"" which doesn't make sense. The model also changed ""bewaffneten Räubern"" (armed robbers) to ""armed robbers at close quarters"" rather than ""armed robbers at close range""","We spoke to Rhon Mizrachi, Grand Master of the Krav Maga Association, to find out how to deal with armed robbers at close range.",47.37,58.04,10.68,0.8466,0.8568,0.0102
1735,"Was die Forscher dabei allerdings schon seit Jahren verwundert: Die Flugkörper verhalten sich nicht 100-prozentig so, wie man es nach dem altehrwürdigen Gravitationsgesetz erwarten würde.",But what researches have been wondering about for years is this: The objects in flight are not behaving precisely in the way we have come to expect according to the venerable law of gravitation.,"What the researchers have been wondering about for years, however, is that the missiles do not behave 100 per cent in accordance with the ancient law of gravity.",the translation accurately captures the meaning,"What the researchers have been wondering about for years, however, is that the missiles do not behave 100 per cent in accordance with the ancient law of gravity.",16.27,16.27,0,0.8083,0.8083,0
2808,"Porras nennt anschließend einige Möglichkeiten: Es gibt Dinge, die du einem Fremden nicht erzählen würdest. Warum machst du es dann im Internet?","Porras then lists some options: There are things you wouldn't tell a stranger, so why do it online?","Porras then goes on to list some possibilities: there are things you would not tell a stranger, so why do you tell them on the Internet?","The German ""Porras nennt anschließend einige Möglichkeiten"" should be ""Porras then goes on to list some possibilities"" not ""Porras then goes on to list some possibilities: there are things you would not tell a stranger","Porras then goes on to list some possibilities: there are things you would not tell a stranger, so why do you tell them on the Internet?",27.46,27.46,0,0.8769,0.8769,0
1115,Ein mit zwei Messern bewaffneter Wahnsinniger hat am Freitag gegen Spätnachmittag zur Hauptgeschäftszeit in der Innenstadt von Clichy-la-Garenne (Hauts-de-Seine) einen Achtzigjährigen getötet und fünf weitere Personen verletzt.,"A crazed man armed with two knives has killed a man in his eighties and wounded five other people in the city centre of Clichy-la-Garenne (Hauts-de-Seine), during rush hour, towards the end of Thursday.",A madman armed with two knives killed an 80-year-old and injured five other people in the centre of Clichy-la-Garenne (Hauts-de-Seine) on Friday afternoon at the height of the shopping period.,"The German ""mit zwei Messern bewaffneter Wahnsinniger"" should be ""armed with two knives"" not ""armed with two knives",A madman armed with two knives killed an 80-year-old and injured five other people in the centre of Clichy-la-Garenne (Hauts-de-Seine) on Friday afternoon at the height of the shopping period.,28.77,28.77,0,0.8592,0.8592,0
599,"Das funktioniert wie mit den meisten Wiesn-Besuchern: Leer hin, voll wieder zurück.","It works like with most Wiesn visitors: When it's empty, they head out, and when it's full, they come back.","It works like with most Wiesn visitors: empty in, full out.","The German ""funktioniert wie mit den meisten Wiesn-Besuchern"" should be ""works like most Wiesn visitors"" not ""It works like with most Wiesn visitors"" - the model changed ""wie mit den meisten Wiesn-Besuchern"" to ""with most Wiesn visitors"" when it should be ""like most Wiesn visitors","It works like most Wiesn visitors: empty in, full again.",26.46,12.44,-14.02,0.6834,0.6241,-0.0593
4537,"Also so eine Tasche, die man an der Taille zuknöpft und in der man sämtliche notwendigen Proprietäten bei sich trägt.",That is the bag you fasten around your waist to carry all the props you need.,So a bag that you fasten round your waist and in which you carry all your necessary possessions.,"The German ""Tasche"" should be ""bag"" not ""pouch"" - this is a lexical error where the model chose a less common word. The phrase ""an der Taille zuknöpft"" should be ""fastened to the waist"" not ""fastened round your waist"" - the model changed the preposition from ""to"" to ""round"" which is less formal. The phrase ""in der man sämtliche notwendigen Proprietäten bei sich trägt"" should be ""in which one carries all the necessary properties"" not ""in which you carry all your necessary possessions"" - the model changed ""Proprietäten"" (properties) to ""possessions"" and simplified the structure",So a bag that is fastened to the waist and in which one carries all the necessary properties.,7.76,5.73,-2.04,0.8063,0.753,-0.0533
3887,"Das Verteidigungsministerium hatte damals zum Einkauf kein Ausschreibungsverfahren ausgeschrieben, sondern sprach EADS direkt an.",Ministry of Defence did not organize any tender for the purchase and addressed EADS directly.,"At that time, the Ministry of Defence did not advertise for tenders, but spoke directly to EADS.","The German ""Verteidigungsministerium hatte damals zum Einkauf kein Ausschreibungsverfahren ausgeschrieben, sondern sprach EADS direkt an"" should be ""The Ministry of Defence did not advertise for tenders, but contacted EADS directly"" not ""did not advertise for tenders, but spoke directly to EADS","The Ministry of Defence did not advertise for tenders, but contacted EADS directly.",21.31,31.7,10.39,0.8496,0.8781,0.0285
2477,Die Entführer aus dem Sudan hatten mehrere Millionen Euro Lösegeld gefordert.,The abductors from Sudan had demanded a ransom of several million Euros.,The kidnappers from Sudan had demanded several million euros in ransom.,"The German ""Entführer aus dem Sudan"" should be ""Sudanese kidnappers"" not ""kidnappers from Sudan"" - the model changed the nationality from Sudanese to generic kidnappers. The phrase ""forderten mehrere Millionen Euro Lösegeld"" should be ""demanded several million euros in ransom"" not ""had demanded several million euros in ransom"" - the model changed ""forderten"" (demanded) to ""had demanded"" and ""Lösegeld"" (ransom) to ""ransom""",The Sudanese kidnappers had demanded several million euros in ransom.,25.67,10.17,-15.51,0.9247,0.9201,-0.0046
3813,"Der Vorfall ereignete sich, als die Beamten der Verkehrspolizei der Region Álava die Verkehrskontrolle auf der N-1 bereits abgeschlossen hatten und vorbei durch das Stadtgebiet von Armiñon fuhren.","This occurred when some officials of the Alava Highway Police were conducting an audit of transports along the N-1, at the point which it crosses the district town of Armiñón.",The incident occurred when the traffic police officers of the Region of Álava had completed the traffic control on the N-1 and were passing through the town of Armiñon.,"The German ""Vorfall"" should be ""accident"" not ""incident"" - this is about a traffic accident, not a general incident. The phrase ""Beamten der Verkehrspolizei"" should be ""traffic police officers"" not ""traffic police officers of the Region of Álava"" - the target uses more specific terminology. The phrase ""vorbei durch das Stadtgebiet von Armiñon fuhren"" should be ""were passing through the town of Armiñon"" not ""were passing through the town of Armiñon"" - the target uses more natural English",The accident took place when the traffic police officers of the Region of Álava had finished the traffic control on the N-1 and were passing through the town of Armiñon.,5.25,4.78,-0.46,0.8154,0.7928,-0.0226
3673,"Alcoa sagte, dass die Entscheidung, die Verträge auszubuchen, die""Fähigkeit Alcoas... die Schmelzerei zu betreiben oder die Stromversorgung an die Schmelzerei zu gewährleisten"" nicht beeinträchtige.","Alcoa said the decision to close out the contracts ""does not affect Alcoa's ... ability to operate the smelter or secure electricity supply to the smelter.""",Alcoa said that the decision to terminate the contracts would not affect 'Alcoa's ability... to operate or provide power to the smelter'.,"The German ""die Verträge auszubuchen"" should be ""to terminate the contracts"" not ""to terminate the contracts"" - this is about terminating contracts, not terminating contracts. The phrase ""die Fähigkeit Alcoas... die Schmelzerei zu betreiben oder die Stromversorgung an die Schmelzerei zu gewährleisten"" should be ""Alcoa's ability... to operate or provide power to the smelter"" not ""Alcoa's ability... to operate or provide power to the smelter"" - the model changed ""gewährleisten"" (guarantee) to ""provide power"" which is less specific. The word ""auszubuchen"" means ""to terminate"" in this context, not ""to terminate""","Alcoa said that the decision to terminate the contracts would not affect ""Alcoa's ability... to operate or provide power to the smelter"".",12.19,14.62,2.43,0.899,0.9132,0.0142
1091,Das Larsen-C-Schelfeis liegt südlich von Südamerika fast an der Spitze der antarktischen Halbinsel.,"The Larsen C ice shelf is located south of South America, almost at the tip of the Antarctic Peninsula.","The Larsen C ice shelf is located south of South America, almost at the tip of the Antarctic Peninsula.","The German ""Larsen-C-Schelfeis"" should be ""Larsen-C ice shelf"" not ""Larsen C ice shelf"" - the hyphen should be retained. The phrase ""südlich von Südamerika"" should be ""south of South America"" not ""south of South America"" - the German preposition ""von"" should be retained. The phrase ""fast an der Spitze der antarktischen Halbinsel"" should be ""at the tip of the Antarctic Peninsula"" not ""at the tip of the Antarctic Peninsula"" - the German ""der antarktischen Halbinsel"" should be ""of the Antarctic Peninsula"" not ""of the Antarctic Peninsula","The Larsen-C ice shelf is located south of South America, almost at the tip of the Antarctic Peninsula.",100,85.95,-14.05,0.9513,0.9243,-0.027
